GENRE	TITLE	ARTIST	BPM	☆SN	♪SN	☆SH	♪SH	☆SA	♪SA	☆DN	♪DN	☆DH	♪DH	☆DA	♪DA	OLD
PSYCHEDELIC	Quickening	dj TAKA	150	5	478	8	875	8+	1062	5	440	7	620	8+	1044	yes
PSYCHEDELIC TECHNO	Giudecca	D.J.SETUP	155	4	470	8	1016	8+	1381	5	600	8+	1129	8+	1392	yes
TECHNO	lower world	D.J.SETUP	155	6	706	8	979	8+	1144	7	705	8+	981	8+	1254	yes
TECHNO	NEMESIS	D.J.SETUP	164	5	524	8	839	8+	973	6	667	8+	977	8+	1367	yes
LATIN SWING	Red Nikita	Osamu Kubota	140	4	350	7	684	8	739	3	350	8	673	8+	820	yes
-	62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yes
SPANISH WALTZ	Estella	Osamu Kubota	114	4	382	6	559	-	-	6	567	8+	799	-	-	yes
-	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yes
J-TRANCE	蒼い衝動	NAOKI feat. YUKI	145	5	468	7	694	8	803	5	524	6	685	7	795	yes
CHILL OUT	.59	dj TAKA	123-135	4	360	6	514	7	584	4	444	6	514	7	585	yes
AMBIENT	Tangerine Stream	dj TAKA	84	1	141	2	198	-	-	1	151	2	199	-	-	yes
RENAISSANCE	A	D.J.Amuro	93-191	6	666	8+	1111	8+	1260	7	613	8+	1119	8+	1343	yes
WORLD HOUSE	THE SAFARI	Lion Musashi	150	7	618	8+	900	-	-	7	624	8+	900	-	-	yes
TECHNO	DXY!	TaQ	148	6	651	8	968	8+	1158	5	781	8+	1332	8+	1529	yes
AMBIENT	still my words	TaQ feat. Meg	136	4	464	6	619	-	-	5	437	7	726	-	-	yes
-	72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yes
TRANCE	rainbow flyer	dj TAKA	148	4	422	8	859	8+	1081	4	424	8+	931	8+	1167	yes
RAVE	LAB	RAM	180	5	534	8	1029	8+	1075	5	547	8+	1014	-	-	yes
TRANCE	V35	tiger YAMATO	148	4	514	6	746	7	1000	5	512	6	744	8+	1095	yes
-	76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yes
CUDDLECORE	murmur twins	yu_tokiwa.djw	174	5	567	8	854	8+	1207	5	589	8+	924	8+	1188	yes
-	78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yes
HARDCORE TECHNO	MAX 300	Ω	12-300	7	571	8+	982	-	-	6	566	8+	982	-	-	yes
TECHNO	outer wall	sampling masters MEGA	149	5	474	6	687	7	892	6	474	7	736	8+	902	yes
-	81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yes
HARDCORE	Go Berzerk	Scott Brown	172	5	526	8+	1249	8+	1396	5	526	8+	1249	8+	1972	no
TECHNO	SOLITON BEAM	L.E.D.	152	6	745	8	1071	8+	1180	6	710	8+	1157	8+	1378	no
WORLD / ELECTRONICA	水上の提督 (Short mix from ”幻想水滸伝V”)	猫叉Master	140	4	357	7	868	8+	1073	3	357	8	940	8+	1280	no
MILLENNIUM TRANCE	INORI	dj TAKA feat. HAL	146	3	701	8	1330	8+	1614	3	699	7	1241	8+	1730	no
POPS	Love Again...	Tatsh feat. Junko Hirata	110	4	293	5	400	6	538	4	396	6	533	-	-	no
-	87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	no
-	88	-	-	-	-	-	-	-	-	-	-	-	-	-	-	no
BREAKBEATS MIX	You Really Got Me	WaveGroup / Shoichiro Hirata	138	1	228	2	321	7	799	2	228	4	321	8	799	no
